User ID,Item ID,Category,Price (INR),CF Score,CBF Score,Final Score
85,111,Vegetables,515,3.5709841843011176,0.2318451565499663,2.5692424759757717
21,336,Beverages,516,4.5709701719854205,0.10818619488003878,3.232134978853806
18,421,Snacks,524,4.539496495133836,0.6409167746440754,3.3699225789869076
55,357,Vegetables,551,3.798177895062186,0.523183067518216,2.815679446798995
29,498,Beverages,988,2.86308078199171,0.8991452884450164,2.273900133927702
24,436,Fruits,334,3.048126474765959,0.726608021181275,2.351670938690553
74,234,Beverages,88,1.5476752959826516,0.5097424500426206,1.2362954422006422
17,321,Snacks,746,2.364068372476812,0.4035894707651476,1.7759247019633126
18,255,Dairy,180,1.7509123019930946,0.4043746995708203,1.3469510212664122
42,241,Dairy,633,4.284800813399818,0.22630428615123455,3.0672518552252432
84,257,Dairy,907,4.659015605351839,0.017325971755697056,3.266508715272996
45,425,Fruits,737,3.147693045680468,0.5749105882071062,2.3758583084384592
82,470,Snacks,164,3.9110561620517763,0.2124147325232152,2.8014637331932075
17,443,Vegetables,588,1.48585908362851,0.20832691772804146,1.1025994338583693
73,361,Dairy,614,3.4341385731089535,0.1253812286764805,2.4415113697792115
14,382,Snacks,404,3.811164085511384,0.18959549017669275,2.7246935069109766
49,437,Beverages,288,2.811072518045603,0.031789149555137675,1.9772875074984633
29,443,Fruits,942,1.9730923378827945,0.674231449748532,1.5834340714425155
95,328,Snacks,473,4.509498082165566,0.40139711631269426,3.277067792409704
4,475,Snacks,718,3.9716348798148897,0.5615245987731451,2.9486017955023662
82,379,Vegetables,537,4.59942912739678,0.6369576180207995,3.410687674583986
20,457,Snacks,884,4.273610589991294,0.9724845622761592,3.283272781676753
47,389,Vegetables,369,4.96149771831545,0.06826586585550098,3.4935281625774652
9,267,Fruits,129,1.7686909328577958,0.417917684831438,1.3634589584498882
77,146,Fruits,502,1.3469910712158963,0.24589793352648104,1.0166631299090718
79,302,Beverages,426,2.348011165349034,0.47671193185681415,1.7866213953013679
27,313,Vegetables,669,1.5160167000930356,0.9204723006138882,1.3373533802492912
15,345,Vegetables,70,3.0925204516248974,0.7239842652481513,2.3819595957118733
92,123,Dairy,422,3.53211562163097,0.6619495864798933,2.6710658110856467
